country,stateProvince,county,domainName,domainID,siteName,siteID,plotType,subtype,subtypeSpecification,plotID,plotSize,plotDimensions,referencePointPosition,decimalLatitude,decimalLongitude,geodeticDatum,utmZone,easting,northing,coordinateUncertainty,elevation,elevationUncertainty,minimumElevation,maximumElevation,slopeGradient,slopeAspect,nlcdClass,soilTypeOrder,coordinateSource,recordedDate,filteredPositions,plotPdop,plotHdop,plotName,sampledAppMod,plotStatus,plotStartDate,plotEndDate
unitedStates,AL,Bibb,Ozarks Complex,D08,Talladega National Forest NEON,TALL,distributed,birdGrid,ninePoints,TALL_025,250000,500m x 500m,5,32.899062,-87.394814,WGS84,16N,463076.075,3640166.185,0.17,133.26,0.19,112.02,133.26,3.13,343.18,mixedForest,Ultisols,GeoXH 6000,2014-05-05,338,22,11,TALL_025_birdGrid,brd,decommissioned,2015-01-01,2017-12-31
unitedStates,AL,Hale,Ozarks Complex,D08,Talladega National Forest NEON,TALL,distributed,birdGrid,ninePoints,TALL_027,250000,500m x 500m,5,32.890934,-87.432699,WGS84,16N,459529.212,3639278.927,0.1,115.43,0.1,81.25,126.78,9.72,87.52,deciduousForest,Ultisols,GeoXH 6000,2014-04-30,321,1.9,0.9,TALL_027_birdGrid,brd,decommissioned,2015-01-01,2017-12-31
unitedStates,AL,Hale,Ozarks Complex,D08,Talladega National Forest NEON,TALL,distributed,birdGrid,ninePoints,TALL_029,250000,500m x 500m,5,32.902373,-87.431242,WGS84,16N,459670.728,3640546.577,0.1,123.46,0.1,84.58,132.23,10.88,185.53,mixedForest,Ultisols,GeoXH 6000,2015-05-06,551,1.4,0.7,TALL_029_birdGrid,brd,decommissioned,2017-01-01,2017-12-31
unitedStates,CA,Fresno,Pacific Southwest,D17,Lower Teakettle NEON,TEAK,distributed,birdGrid,ninePoints,TEAK_025,250000,500m x 500m,5,36.989342,-119.022824,WGS84,11N,319981.497,4095602.515,0.09,2301.55,0.1,2228.05,2326.43,7.97,120.38,shrubScrub,Entisols,Geo 7X (H-Star),2015-06-15,442,1.3,0.8,TEAK_025_birdGrid,brd,decommissioned,2017-01-01,2017-12-31
unitedStates,CA,Fresno,Pacific Southwest,D17,Lower Teakettle NEON,TEAK,distributed,birdGrid,ninePoints,TEAK_026,250000,500m x 500m,5,37.034975,-119.027895,WGS84,11N,319638.124,4100675.205,0.24,2505,0.65,2399.92,2566.48,14.37,158.03,shrubScrub,Entisols,Geo 7X (H-Star),2015-06-09,400,1.8,1,TEAK_026_birdGrid,brd,decommissioned,2017-01-01,2017-12-31
unitedStates,KS,Douglas,Prairie Peninsula,D06,KU Field Station NEON,UKFS,tower,phenology,primary,UKFS_062,40000,200m x 200m,C,39.038574,-95.188624,WGS84,15N,310576.523,4323336.5,NA,316,NA,284.83,318.08,9.7,143.74,,Mollisols,GIS,NA,NA,NA,NA,UKFS_062_phenology,phe,decommissioned,2015-01-01,2015-12-31
unitedStates,MI,Gogebic,Great Lakes,D05,University of Notre Dame Environmental Research Center NEON,UNDE,distributed,tickPlot,,UNDE_003,1600,40m x 40m,41,46.257317,-89.534895,WGS84,16N,304631.822,5125761.077,0.1,501.9,0.11,501.77,509.37,2.33,22.38,woodyWetlands,Histosols,GeoXH 6000,2013-09-21,300,2.8,1.4,UNDE_003_tickPlot,tck,decommissioned,2014-01-01,2015-12-31
unitedStates,WI,Vilas,Great Lakes,D05,University of Notre Dame Environmental Research Center NEON,UNDE,distributed,mammalGrid,,UNDE_020,8100,90m x 90m,E5,46.206881,-89.483602,WGS84,16N,308409.419,5120032.091,0.1,503.98,0.11,503.98,509.84,1.08,311.55,woodyWetlands,Spodosols,GeoXH 6000,2014-05-29,477,2.3,1.1,UNDE_020_mammalGrid,mam,decommissioned,2014-01-01,2014-12-31
unitedStates,MI,Gogebic,Great Lakes,D05,University of Notre Dame Environmental Research Center NEON,UNDE,distributed,basePlot,,UNDE_032,1600,40m x 40m,41,46.242971,-89.538204,WGS84,16N,304325.717,5124175.366,0.11,506.68,0.12,505.73,511.43,2.52,4,mixedForest,Spodosols,GeoXH 6000,2013-09-15,338,2.7,1.3,UNDE_032_basePlot,bgc|cdw|div,decommissioned,2014-01-01,2015-12-31
unitedStates,MI,Gogebic,Great Lakes,D05,University of Notre Dame Environmental Research Center NEON,UNDE,distributed,birdGrid,ninePoints,UNDE_034,250000,500m x 500m,5,46.248206,-89.520872,WGS84,16N,305680.308,5124714.28,0.14,516.64,0.18,505.67,518.52,1.02,134.45,mixedForest,Spodosols,GeoXH 6000,2013-09-22,139,4.2,2.2,UNDE_034_birdGrid,brd,decommissioned,2016-01-01,2017-12-31
unitedStates,WI,Vilas,Great Lakes,D05,University of Notre Dame Environmental Research Center NEON,UNDE,distributed,birdGrid,ninePoints,UNDE_035,250000,500m x 500m,5,46.216746,-89.510321,WGS84,16N,306382.953,5121193.069,0.23,518.33,0.24,504.38,518.33,3.69,263.08,mixedForest,Spodosols,Geo 7X (H-Star),2014-10-07,304,6.3,4,UNDE_035_birdGrid,brd,decommissioned,2016-01-01,2019-12-31
unitedStates,MI,Gogebic,Great Lakes,D05,University of Notre Dame Environmental Research Center NEON,UNDE,tower,basePlot,,UNDE_053,1600,40m x 40m,41,46.230392,-89.534098,WGS84,16N,304597.567,5122767.622,0.18,515.01,0.29,508.28,518.84,7.13,116.5,mixedForest,Inceptisols,GeoXH 6000,2013-09-20,129,5.8,1.6,UNDE_053_basePlot,cdw|hbp,decommissioned,2014-01-01,2015-12-31
unitedStates,MI,Gogebic,Great Lakes,D05,University of Notre Dame Environmental Research Center NEON,UNDE,distributed,mosquitoPoint,,UNDE_069,0,0m,41,46.252051,-89.495032,WGS84,16N,307685.587,-89.495032,0.21,524.44,0.23,524.44,524.44,6.5,24.38,deciduousForest,Spodosols,GeoXH 6000,NA,313,3.5,2.6,UNDE_069_mosquitoPoint,mos,decommissioned,2014-01-01,2014-12-31
unitedStates,ND,Stutsman,Northern Plains,D09,Chase Lake National Wildlife Refuge NEON,WOOD,distributed,mammalGrid,,WOOD_001,8100,90m x 90m,E5,47.12949,-99.25848,WGS84,14N,480396.7,5219587,0.14,595.66,0.26,595.66,601.24,3.08,16.67,grasslandHerbaceous,,GeoXH 6000,2014-05-14,201,1.7,0.8,WOOD_001_mammalGrid,mam,decommissioned,2014-01-01,2016-12-31
unitedStates,ND,Stutsman,Northern Plains,D09,Chase Lake National Wildlife Refuge NEON,WOOD,distributed,mammalGrid,,WOOD_006,8100,90m x 90m,E5,47.14358,-99.247798,WGS84,14N,481211.537,5221149.64,0.15,591.71,0.21,590.03,592.66,0.2,14.08,grasslandHerbaceous,Mollisols,GeoXH 6000,2014-05-13,202,1.4,0.8,WOOD_006_mammalGrid,mam,decommissioned,2014-01-01,2016-12-31
unitedStates,ND,Stutsman,Northern Plains,D09,Chase Lake National Wildlife Refuge NEON,WOOD,distributed,mammalGrid,,WOOD_011,8100,90m x 90m,E5,47.128426,-99.264206,WGS84,14N,479961.791,5219469.635,0.18,600.11,0.34,599.71,605.84,2.69,160.18,grasslandHerbaceous,Mollisols,GeoXH 6000,2014-05-13,183,1.7,0.8,WOOD_011_mammalGrid,mam,decommissioned,2014-01-01,2016-12-31
unitedStates,ND,Stutsman,Northern Plains,D09,Chase Lake National Wildlife Refuge NEON,WOOD,distributed,mammalGrid,,WOOD_013,8100,90m x 90m,E5,47.13897,-99.23014,WGS84,14N,482549.1,5220633,0.1,581.71,0.25,577.38,583.84,2.29,132.19,grasslandHerbaceous,,GeoXH 6000,2014-05-13,208,1.7,0.9,WOOD_013_mammalGrid,mam,decommissioned,2014-01-01,2016-12-31
unitedStates,ND,Stutsman,Northern Plains,D09,Chase Lake National Wildlife Refuge NEON,WOOD,distributed,mammalGrid,,WOOD_015,8100,90m x 90m,E5,47.15096,-99.23311,WGS84,14N,482327.3,5221966,0.17,593.33,0.19,593.03,595.42,0.21,134.73,grasslandHerbaceous,,GeoXH 6000,2014-05-14,205,1.5,0.8,WOOD_015_mammalGrid,mam,decommissioned,2014-01-01,2016-12-31
unitedStates,WY,Park,Northern Rockies,D12,Yellowstone National Park NEON,YELL,distributed,basePlot,,YELL_001,1600,40m x 40m,41,44.917485,-110.410361,WGS84,12N,546539.224,4973953.188,0.1,1902.9,0.1,1902.52,1903.61,1.15,120,shrubScrub,,GeoXH 6000,2017-05-04,147,4.6,2.1,YELL_001_basePlot,all|bgc|cdw|div|hbp|vst,decommissioned,2018-01-01,2020-12-31
unitedStates,WY,Park,Northern Rockies,D12,Yellowstone National Park NEON,YELL,distributed,tickPlot,,YELL_001,1600,40m x 40m,41,44.91684,-110.412018,WGS84,12N,546408.97,4973880.566,0.1,1904.84,0.1,1904.57,1905.47,1.95,17.25,shrubScrub,,Geo 7X (H-Star),2018-04-19,102,2.1,1.2,YELL_001_tickPlot,tck,decommissioned,2018-01-01,2020-12-31
unitedStates,WY,Park,Northern Rockies,D12,Yellowstone National Park NEON,YELL,distributed,mammalGrid,,YELL_001,8100,90m x 90m,E5,44.918169,-110.408714,WGS84,12N,546668.681,4974030.069,0.1,1904.11,0.11,1893.65,1904.11,4.9,358.29,shrubScrub,,Geo 7X (H-Star),2018-05-22,344,1.8,1,YELL_001_mammalGrid,mam,decommissioned,2018-01-01,2019-12-31
unitedStates,WY,Park,Northern Rockies,D12,Yellowstone National Park NEON,YELL,distributed,mosquitoPoint,,YELL_034,0,0m,41,44.949161,-110.613138,WGS84,12N,530517.58,4977375.65,10.1,2023.07,0.1,2023.07,2023.07,4.76,287.45,shrubScrub,,GeoXH 6000,2017-05-31,125,1.9,1,YELL_034_mosquitoPoint,mos,decommissioned,2018-01-01,2018-12-31
unitedStates,WY,Park,Northern Rockies,D12,Yellowstone National Park NEON,YELL,distributed,mosquitoPoint,,YELL_035,0,0m,41,44.948632,-110.468584,WGS84,12N,541921.098,4977381.463,10.16,2025.22,0.18,2025.22,2025.22,11.12,27.25,evergreenForest,,GeoXH 6000,2017-05-31,313,3,1.3,YELL_035_mosquitoPoint,mos,decommissioned,2018-01-01,2018-12-31
unitedStates,WY,Park,Northern Rockies,D12,Yellowstone National Park NEON,YELL,distributed,mosquitoPoint,,YELL_036,0,0m,41,44.939743,-110.446057,WGS84,12N,543704.935,4976405.883,10.25,2017.81,0.22,2017.81,2017.81,3.45,199.7,shrubScrub,,GeoXH 6000,2017-06-01,151,1.5,0.8,YELL_036_mosquitoPoint,mos,decommissioned,2018-01-01,2018-12-31
unitedStates,WY,Park,Northern Rockies,D12,Yellowstone National Park NEON,YELL,distributed,mosquitoPoint,,YELL_038,0,0m,41,44.960841,-110.561262,WGS84,12N,534602.794,4978693.997,10.1,2107.39,0.1,2107.39,2107.39,3.81,129.05,grasslandHerbaceous,,Geo 7X (H-Star),2017-06-14,154,1.4,0.8,YELL_038_mosquitoPoint,mos,decommissioned,2018-01-01,2018-12-31
unitedStates,WY,Park,Northern Rockies,D12,Yellowstone National Park NEON,YELL,distributed,mosquitoPoint,,YELL_039,0,0m,41,44.919708,-110.423645,WGS84,12N,545488.968,4974192.644,10.25,1928.68,0.24,1928.68,1928.68,3.18,131.32,shrubScrub,,GeoXH 6000,2017-06-01,156,1.7,0.9,YELL_039_mosquitoPoint,mos,decommissioned,2018-01-01,2018-12-31
unitedStates,WY,Park,Northern Rockies,D12,Yellowstone National Park NEON,YELL,distributed,mosquitoPoint,,YELL_040,0,0m,41,44.952065,-110.606115,WGS84,12N,531070.063,4977700.959,10.1,2025.52,0.1,2025.52,2025.52,6.44,333.65,shrubScrub,,GeoXH 6000,2017-05-31,127,1.9,1,YELL_040_mosquitoPoint,mos,decommissioned,2018-01-01,2018-12-31
unitedStates,WY,Park,Northern Rockies,D12,Yellowstone National Park NEON,YELL,distributed,mosquitoPoint,,YELL_042,0,0m,41,44.907975,-110.401711,WGS84,12N,547229.731,4972901.786,10.61,1948.41,0.8,1948.41,1948.41,5.23,42.82,evergreenForest,,GeoXH 6000,2017-06-01,151,3.5,1.9,YELL_042_mosquitoPoint,mos,decommissioned,2018-01-01,2018-12-31
unitedStates,MA,Worcester,Northeast,D01,Harvard Forest & Quabbin Watershed NEON,HARV,distributed,tickPlot,,HARV_025,1600,40m x 40m,41,42.474085,-72.274253,WGS84,18N,724064.1118,4706015.995,,181,,,,,,mixedForest,,GIS,,,,,HARV_025_tickPlot,tck,decommissioned,2014-05-07,2014-05-07
unitedStates,TN,Roane,Appalachians & Cumberland Plateau,D07,Oak Ridge NEON,ORNL,distributed,tickPlot,,ORNL_006,1600,40m x 40m,41,35.938201,-84.322185,WGS84,16N,741560.8324,3980408.577,,286,,,,,,deciduousForest,,GIS,,,,,ORNL_006_tickPlot,tck,decommissioned,2014-05-12,2014-06-27
unitedStates,MI,Gogebic,Great Lakes,D05,University of Notre Dame Environmental Research Center NEON,UNDE,distributed,tickPlot,,UNDE_062,1600,40m x 40m,41,46.2469,-89.505394,WGS84,16N,306869,5124531,,518,,,,,,,,GIS,,,,,UNDE_062_tickPlot,tck,decommissioned,2014-06-04,2014-06-04
unitedStates,VA,Warren,Mid-Atlantic,D02,Smithsonian Conservation Biology Institute NEON,SCBI,distributed,tickPlot,,SCBI_012,1600,40m x 40m,41,38.8889152,-78.167196,WGS84,17N,745701.9548,4308264.551,,241,,,,,,pastureHay,,GIS,,,,,SCBI_012_tickPlot,tck,decommissioned,2014-06-09,2014-06-09
unitedStates,CO,Logan,Central Plains,D10,North Sterling NEON,STER,distributed,tickPlot,,STER_025,1600,40m x 40m,41,40.46565,-103.03283,WGS84,13N,666776,4481300,,1368,,,,,,cultivatedCrops,,GIS,,,,,STER_025_tickPlot,tck,decommissioned,2014-04-08,2014-09-26
unitedStates,WA,Skamania,Pacific Northwest,D16,Wind River Experimental Forest NEON,WREF,distributed,mammalGrid,,WREF_001,8100,90m x 90m,E5,45.845118,-121.998227,WGS84,10N,577785.665,5077327.153,0.39,653.21,0.58,653.21,669.31,5.75,358.56,evergreenForest,,Geo 7X (H-Star),2017-10-11,616,4.6,2.8,WREF_001_mammalGrid,mam,decommissioned,2017-01-01,2021-12-31
unitedStates,WA,Skamania,Pacific Northwest,D16,Wind River Experimental Forest NEON,WREF,distributed,mammalGrid,,WREF_010,8100,90m x 90m,E5,45.82746,-121.850099,WGS84,10N,589315.664,5075520.32,0.19,677.3,0.21,637.62,690.13,22.58,270.81,evergreenForest,,GeoXH 6000,2017-10-18,611,141.3,99.9,WREF_010_mammalGrid,mam,decommissioned,2017-01-01,2021-12-31
unitedStates,AK,North Slope Borough,Tundra,D18,Utqiagvik NEON,BARR,distributed,basePlot,,BARR_031,1600,40m x 40m,41,71.252017,-156.509878,WGS84,4N,589304.05,7907342.56,0.01,4.63,0.02,4.44,4.76,1.26,0.8,sedgeHerbaceous,,Geo 7X,2015-06-19,262,2.2,1,BARR_031_basePlot,all|bet,decommissioned,2015-06-19,2021-12-31
unitedStates,MD,Anne Arundel,Mid-Atlantic,D02,Smithsonian Environmental Research Center NEON,SERC,tower,basePlot,,SERC_061,1600,40m x 40m,41,38.889755,-76.555089,WGS84,18N,365129.827,4305692.001,0.23,7.01,0.36,5.87,15.46,2.23,210,deciduousForest,Ultisols,GeoXH 6000,20141215,301,6.1,2.1,SERC_061_basePlot,cdw|dhp|hbp|ltr|vst,decommissioned,2015-01-01,2021-12-31
unitedStates,WI,Lincoln,Great Lakes,D05,Treehaven NEON,TREE,distributed,mosquitoPoint,,TREE_037,0,0m,41,45.493954,-89.56901,WGS84,16N,299271.03,5041035.275,10.11,459.48,0.17,459.48,459.48,3.59,162.54,mixedForest,Spodosols,Geo 7X (H-Star),20141010,302,1.6,0.9,TREE_037_mosquitoPoint,mos,decommissioned,2016-01-01,2021-12-31
unitedStates,WI,Lincoln,Great Lakes,D05,Treehaven NEON,TREE,distributed,mammalGrid,,TREE_027,8100,90m x 90m,E5,45.492963,-89.556703,WGS84,16N,300229.1472,5040894.466,0.13,469.24,0.19,463.51,,2.84,3.48,mixedForest,Spodosols,Geo 7X (H-Star),,,,,TREE_027_mammalGrid,mam,decommissioned,2015-01-01,2021-12-31
unitedStates,GA,Baker,Southeast,D03,The Jones Center At Ichauway NEON,JERC,distributed,basePlot,,JERC_029,1600,40m x 40m,41,31.186763,-84.46438,WGS84,16N,741629.4437,3453070.04,0.18,44.56,0.28,44.15,,0,0,deciduousForest,Ultisols,GeoXH 6000,,,,,JERC_029_basePlot,cdw|cgc|dhp|div|vst,decommissioned,2014-01-01,2021-12-31
unitedStates,GA,Baker,Southeast,D03,The Jones Center At Ichauway NEON,JERC,distributed,basePlot,,JERC_034,1600,40m x 40m,41,31.197575,-84.491484,WGS84,16N,739018.6186,3454209.924,0.19,44.28,0.31,43.59,,0,0,deciduousForest,Ultisols,GeoXH 6000,,,,,JERC_034_basePlot,div|vst,decommissioned,2014-01-01,2021-12-31
unitedStates,GA,Baker,Southeast,D03,The Jones Center At Ichauway NEON,JERC,distributed,basePlot,,JERC_035,1600,40m x 40m,41,31.183308,-84.454719,WGS84,16N,742559.1795,3452708.111,0.1,36.91,0.13,35.34,,3.32,139,deciduousForest,Ultisols,GeoXH 6000,,,,,JERC_035_basePlot,div|vst,decommissioned,2014-01-01,2021-12-31
unitedStates,GA,Baker,Southeast,D03,The Jones Center At Ichauway NEON,JERC,distributed,basePlot,,JERC_036,1600,40m x 40m,41,31.184997,-84.470422,WGS84,16N,741057.9817,3452861.037,0.13,33.3,0.23,32.83,,0,0,deciduousForest,Entisols,GeoXH 6000,,,,,JERC_036_basePlot,div|vst,decommissioned,2014-01-01,2021-12-31
unitedStates,GA,Baker,Southeast,D03,The Jones Center At Ichauway NEON,JERC,distributed,tickPlot,,JERC_001,1600,40m x 40m,41,31.195474,-84.476331,WGS84,16N,740468.1929,3454009.842,0.1,35.11,0.11,35.11,,0.89,178.09,deciduousForest,Ultisols,GeoXH 6000,,,,,JERC_001_tickPlot,tck,decommissioned,2014-01-01,2021-12-31
unitedStates,GA,Baker,Southeast,D03,The Jones Center At Ichauway NEON,JERC,distributed,mammalGrid,,JERC_019,8100,90m x 90m,E5,31.187331,-84.472213,WGS84,16N,740881.3392,3453115.924,0.22,35.16,0.35,32,,1,295.35,deciduousForest,Ultisols,GeoXH 6000,,,,,JERC_019_mammalGrid,mam,decommissioned,2014-01-01,2021-12-31
unitedStates,WA,Clark County,Pacific Northwest,D16,Abby Road NEON,ABBY,distributed,basePlot,,ABBY_012,1600,40m x 40m,41,45.75426264,-122.3842394,WGS84,10N,547890.3737,5066929.326,0.1,438.993,0.1,,,9.484886169,202.6234741,shrubScrub,Ultisols,Geo 7X (H-Star),5/20/2016,180,1.8,1.1,ABBY_012_basePlot,brd|cdw|div|hbp|vst,decommissioned,2016-01-01,2021-12-31
unitedStates,CA,Fresno,Pacific Southwest,D17,Lower Teakettle,TEAK,distributed,mammalGrid,,TEAK_032,8100,90m x 90m,E5,37.055469,-118.981733,WGS84,11N,323791.639,4102862.455,0.11,2540.27,0.2,2509.05,2560.42,23.2,116.57,shrubScrub,Entisols,Geo 7X (H-Star),2015-06-16,516,1.7,0.7,TEAK_032_mammalGrid,mam,decommissioned,2014-01-01,2022-12-31
unitedStates,TX,Wise,Southern Plains,D11,LBJ National Grassland,CLBJ,distributed,basePlot,,CLBJ_031,1600,40m x 40m,41,33.375278,-97.595151,WGS84,14N,630681.931,3693772.963,0.1,292.44,0.1,291.37,295.24,1.95,107.5,grasslandHerbaceous,Alfisols,Geo 7X (H-Star),20160216,185,1.7,0.9,CLBJ_031_basePlot,all|bet|bgc|cdw|cfc|dhp|div|hbp|sme|vst,decommissioned,2016-01-01,2021-12-31
unitedStates,CA,Fresno,Pacific Southwest,D17,Soaproot Saddle NEON,SOAP,tower,basePlot,,SOAP_044,1600,40m x 40m,41,37.031452,-119.269313,WGS84,11N,298153.994,4100769.585,0.13,1242,0.12,1236.07,1247.67,5.99,315,evergreenForest,Mollisols,Geo 7X (H-Star),20151012,1049,6.2,3.5,SOAP_044_basePlot,bbc|bgc|cdw|cfc|div|hbp|ltr|vst,decommissioned,2017-01-01,2022-12-31
unitedStates,CA,Fresno,Pacific Southwest,D17,Soaproot Saddle NEON,SOAP,distributed,basePlot,NA,SOAP_001,1600,40m x 40m,41,37.037898,-119.273529,WGS84,11N,297796.108,4101493.765,0.14,1232.48,0.14,1228.59,1243.16,18.26,300,evergreenForest,Alfisols,Geo 7X (H-Star),20160928,356,6.6,2.9,SOAP_001_basePlot,brd|cdw|cfc|dhp|div|vst,decommissioned,2017-01-01,2023-06-01
unitedStates,VA,Warren,Mid-Atlantic,D02,Smithsonian Conservation Biology Institute NEON,SCBI,distributed,tickPlot,,SCBI_005,1600,40m x 40m,41,38.901865,-78.161944,WGS84,17N,746112.84,4309716.166,0.13,261.58,0.2,259.79,265.89,4.44,46.98,deciduousForest,Inceptisols,GeoXH 6000,2013-11-20,218,4.3,1.6,SCBI_005_tickPlot,tck,decommissioned,2014-01-01,2023-06-01
unitedStates,VA,Warren,Mid-Atlantic,D02,Smithsonian Conservation Biology Institute NEON,SCBI,distributed,basePlot,,SCBI_005,1600,40m x 40m,41,38.900538,-78.16186,WGS84,17N,746124.692,4309569.076,0.16,270.66,0.25,268.49,281.64,8.96,325.41,deciduousForest,Alfisols,GeoXH 6000,2013-11-13,184,3.3,2.1,SCBI_005_basePlot,bet|bgc|brd|cdw|cfc|dhp|div|vst,decommissioned,2014-01-01,2023-06-01
unitedStates,MD,Anne Arundel,Mid-Atlantic,D02,Smithsonian Environmental Research Center NEON,SERC,distributed,mammalGrid,,SERC_008,8100,90m x 90m,E5,38.872818,-76.52527,WGS84,18N,367684.749,4303768.697,0.11,2.14,0.12,2.14,3.6,0.43,237.42,cultivatedCrops,Ultisols,Geo 7X (H-Star),2014-10-24,513,1.3,0.6,SERC_008_mammalGrid,mam,decommissioned,2014-01-01,2023-12-31
unitedStates,MD,Anne Arundel,Mid-Atlantic,D02,Smithsonian Environmental Research Center NEON,SERC,distributed,mammalGrid,,SERC_016,8100,90m x 90m,E5,38.900368,-76.546731,WGS84,18N,365874.717,4306857.429,0.31,13.67,0.49,11.74,18.86,2.84,54.78,deciduousForest,Ultisols,Geo 7X (H-Star),2014-10-22,307,5.8,2.1,SERC_016_mammalGrid,mam,decommissioned,2014-01-01,2023-12-31
unitedStates,AK,Fairbanks North Star Borough,Taiga,D19,Caribou-Poker Creeks Research Watershed NEON,BONA,distributed,mammalGrid,,BONA_020,8100,90m x 90m,E5,65.187086,-147.547446,WGS84,6N,474365.222,7229416.411,0.19,621.53,0.16,619.78,628.1,4.54,279.19,evergreenForest,Histosols,Geo 7X,2016-06-25,612,2.3,1.3,BONA_020_mammalGrid,mam,decommissioned,2014-01-01,2023-12-31
unitedStates,TX,Wise,Southern Plains,D11,Lyndon B. Johnson National Grassland NEON,CLBJ,distributed,mammalGrid,,CLBJ_039,8100,90m x 90m,E5,33.328603,-97.582408,WGS84,14N,631937.811,3688613.801,0.1,315.06,0.1,308.86,318.41,4.58,286.17,grasslandHerbaceous,Mollisols,Geo 7X (H-Star),2016-02-09,152,1.6,0.8,CLBJ_039_mammalGrid,mam,decommissioned,2014-01-01,2023-12-31
unitedStates,TX,Wise,Southern Plains,D11,Lyndon B. Johnson National Grassland NEON,CLBJ,distributed,mammalGrid,,CLBJ_057,8100,90m x 90m,E5,33.374409,-97.642297,WGS84,14N,626297.241,3693618.487,0.12,322.1,0.14,318.39,327.07,3.4,223.16,deciduousForest,Mollisols,Geo 7X (H-Star),2016-03-07,193,2.7,1.3,CLBJ_057_mammalGrid,mam,decommissioned,2014-01-01,2023-12-31
unitedStates,MI,Gogebic,Great Lakes,D05,University of Notre Dame Environmental Research Center NEON,UNDE,distributed,mammalGrid,,UNDE_003,8100,90m x 90m,E5,46.25504,-89.535332,WGS84,16N,304589.997,5125509.161,0.18,505.13,0.33,502.23,505.56,0.15,243.08,woodyWetlands,Histosols,GeoXH 6000,2013-09-22,300,3,1.4,UNDE_003_mammalGrid,mam,decommissioned,2014-01-01,2023-12-31
unitedStates,CO,Weld,Central Plains,D10,Central Plains Experimental Range NEON,CPER,distributed,mammalGrid,,CPER_008,8100,90m x 90m,E5,40.798781,-104.747491,WGS84,13N,521300.857,4516450.949,0.1,1643.95,0.1,1643.95,1648.31,0.83,17.37,grasslandHerbaceous,Aridisols,GeoXH 6000,2013-04-25,134,1.8,1,CPER_008_mammalGrid,mam,decommissioned,2014-01-01,2023-12-31
unitedStates,CO,Weld,Central Plains,D10,Central Plains Experimental Range NEON,CPER,distributed,mammalGrid,,CPER_009,8100,90m x 90m,E5,40.82539,-104.747338,WGS84,13N,521305.274,4519404.685,0.1,1647.51,0.1,1646.4,1651.57,2.19,213.64,grasslandHerbaceous,Aridisols,GeoXH 6000,2013-04-25,128,2.2,1.2,CPER_009_mammalGrid,mam,decommissioned,2014-01-01,2023-12-31
unitedStates,CA,Madera,Pacific Southwest,D17,San Joaquin Experimental Range NEON,SJER,distributed,mammalGrid,,SJER_009,8100,90m x 90m,E5,37.116909,-119.739947,WGS84,11N,256558.595,4111355.611,0.15,433.7,0.14,431.09,442.94,6.34,181.98,grasslandHerbaceous,Alfisols,Geo 7X (H-Star),2015-03-09,347,3.9,3,SJER_009_mammalGrid,mam,decommissioned,2014-01-01,2023-12-31
unitedStates,CA,Madera,Pacific Southwest,D17,San Joaquin Experimental Range NEON,SJER,distributed,mammalGrid,,SJER_012,8100,90m x 90m,E5,37.084404,-119.715586,WGS84,11N,258620.322,4107686.403,0.1,327.18,0.1,322.96,332.42,5.03,300.13,grasslandHerbaceous,Alfisols,GeoXH 6000,2018-09-27,281,2.1,1.6,SJER_012_mammalGrid,mam,decommissioned,2014-01-01,2023-12-31
unitedStates,AL,Bibb,Ozarks Complex,D08,Talladega National Forest NEON,TALL,distributed,mammalGrid,,TALL_005,8100,90m x 90m,E5,32.896732,-87.398771,WGS84,16N,462705.035,3639909.234,0.21,125.36,0.27,116.31,130.31,8.4,349.16,mixedForest,Entisols,GeoXH 6000,2014-03-21,302,13.9,5.7,TALL_005_mammalGrid,mam,decommissioned,2014-01-01,2023-12-31
unitedStates,AL,Bibb,Ozarks Complex,D08,Talladega National Forest NEON,TALL,distributed,mammalGrid,,TALL_031,8100,90m x 90m,E5,32.899006,-87.387449,WGS84,16N,463764.871,3640157.395,0.22,152.68,0.24,136.96,154.54,10.71,73.48,evergreenForest,Entisols,GeoXH 6000,2014-08-26,303,5.2,2.2,TALL_031_mammalGrid,mam,decommissioned,2014-01-01,2023-12-31
unitedStates,AK,North Slope Borough,Tundra,D18,Toolik Field Station NEON,TOOL,distributed,mammalGrid,,TOOL_007,8100,90m x 90m,E5,68.645207,-149.359253,WGS84,6N,404144.47,7616640.342,0.1,857.15,0.1,853.78,857.15,2.19,266.19,dwarfScrub,NA,Geo 7X,2017-07-21,622,1.9,0.7,TOOL_007_mammalGrid,mam,decommissioned,2014-01-01,2023-12-31
unitedStates,AK,North Slope Borough,Tundra,D18,Toolik Field Station NEON,TOOL,distributed,mammalGrid,,TOOL_073,8100,90m x 90m,E5,68.642251,-149.581145,WGS84,6N,395119.54,7616673.039,0.89,717.7,0.76,717.7,724.85,1.96,306.07,sedgeHerbaceous,NA,Geo 7X,2016-08-09,309,1.4,0.7,TOOL_073_mammalGrid,mam,decommissioned,2014-01-01,2023-12-31
unitedStates,MI,Gogebic,Great Lakes,D05,University of Notre Dame Environmental Research Center NEON,UNDE,distributed,tickPlot,,UNDE_999,1600,40m x 40m,41,46.256241,-89.534199,WGS84,16N,304681.65,5125639.815,0.18,507.18,0.25,504.25,508.12,2.33,22.38,woodyWetlands,Histosols,GeoXH 6000,2015-09-03,301,4.2,3,UNDE_999_tickPlot,tck,decommissioned,2014-01-01,2023-12-31
