plotID,subplotID,plotType,subtype,latitude,longitude,datum,utmZone,easting,northing,horzUncert,coordSrc,elevation,vertUncert,nlcdClass,appMods,subpltSize,subpltDim,refPoint,plotName,plotStatus
ABBY_065,21_400,tower,basePlot,45.7621075594749,-122.333220019152,WGS84,10N,551851.105,5067832.727,2.1,GIS,355.66,0.53,grasslandHerbaceous,ltr|bbc|hbp|cfc|vst,400,20m x 20m,21,ABBY_065_basePlot,current
ABBY_065,23_400,tower,basePlot,45.7621041735307,-122.332960682824,WGS84,10N,551871.275,5067832.519,2.1,GIS,356.42,0.53,grasslandHerbaceous,ltr|bbc|hbp|cfc|vst,400,20m x 20m,23,ABBY_065_basePlot,current
ABBY_065,41_400,tower,basePlot,45.7622847631856,-122.332954325578,WGS84,10N,551871.602,5067852.587,2.11,GIS,356.25,0.53,grasslandHerbaceous,ltr|bbc|hbp|cfc|vst,400,20m x 20m,41,ABBY_065_basePlot,current
ABBY_074,41_400,tower,basePlot,45.7613914477468,-122.324898279766,WGS84,10N,552498.903,5067758.595,2.1,GIS,366.15,0.53,evergreenForest,ltr|bbc|hbp|cfc|vst,400,20m x 20m,41,ABBY_074_basePlot,current
ABBY_074,23_400,tower,basePlot,45.7612111716291,-122.324913454866,WGS84,10N,552497.892,5067738.556,2.1,GIS,366.81,0.53,evergreenForest,ltr|bbc|hbp|cfc|vst,400,20m x 20m,23,ABBY_074_basePlot,current
ABBY_074,39_400,tower,basePlot,45.761410011096,-122.325154883173,WGS84,10N,552478.931,5067760.489,2.1,GIS,367.12,0.53,evergreenForest,ltr|bbc|hbp|cfc|vst,400,20m x 20m,39,ABBY_074_basePlot,current
ABBY_074,21_400,tower,basePlot,45.7612280038443,-122.325177176672,WGS84,10N,552477.368,5067740.253,2.1,GIS,367.56,0.53,evergreenForest,ltr|bbc|hbp|cfc|vst,400,20m x 20m,21,ABBY_074_basePlot,current
ABBY_075,21_400,tower,basePlot,45.7620477361782,-122.323603178047,WGS84,10N,552598.999,5067832.361,2.1,GIS,348.02,0.53,shrubScrub,ltr|bbc|hbp|cfc|vst,400,20m x 20m,21,ABBY_075_basePlot,current
ABBY_075,41_400,tower,basePlot,45.7622138120453,-122.32333316514,WGS84,10N,552619.84,5067850.99,2.1,GIS,343.56,0.53,shrubScrub,ltr|bbc|hbp|cfc|vst,400,20m x 20m,41,ABBY_075_basePlot,current
ABBY_075,23_400,tower,basePlot,45.7620331035912,-122.323346730464,WGS84,10N,552618.955,5067830.904,2.1,GIS,345.65,0.53,shrubScrub,ltr|bbc|hbp|cfc|vst,400,20m x 20m,23,ABBY_075_basePlot,current
